# JMH version: 1.37
# VM version: JDK 21, Java HotSpot(TM) 64-Bit Server VM, 21+35-LTS-2513
# VM invoker: /home/forked_franz/.sdkman/candidates/java/21-oracle/bin/java
# VM options: -server -dsa -da -XX:InitialRAMPercentage=40.0 -XX:MaxRAMPercentage=40.0 -Dio.netty.leakDetection.level=disabled -Djmh.executor=CUSTOM -Djmh.executor.class=io.github.neoionet.netty.microbenchmark.executor.FastThreadLocalThreadHarnessExecutor -XX:MaxRAM=60g -Xlog:gc
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 32 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: io.github.neoionet.netty.microbenchmark.ByteBufAllocatorAllocPatternBenchmark.heapAllocation
# Parameters: (MAX_LIVE_BUFFERS = 4096, allocatorType = ADAPTIVE, enableReadWrite = true, sizePattern = E_COMMERCE)

# Run progress: 0.00% complete, ETA 00:01:00
# Fork: 1 of 3
[0.002s][info][gc] Using G1
# Warmup Iteration   1: [2.861s][info][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 2289M->1337M(24576M) 34.732ms
517.701 ±(99.9%) 88.117 ns/op
# Warmup Iteration   2: 1354.586 ±(99.9%) 328.396 ns/op
# Warmup Iteration   3: 424.125 ±(99.9%) 113.022 ns/op
# Warmup Iteration   4: 410.894 ±(99.9%) 100.078 ns/op
# Warmup Iteration   5: 498.196 ±(99.9%) 110.519 ns/op
# Warmup Iteration   6: 433.490 ±(99.9%) 156.285 ns/op
# Warmup Iteration   7: 427.344 ±(99.9%) 166.861 ns/op
# Warmup Iteration   8: 433.116 ±(99.9%) 79.224 ns/op
# Warmup Iteration   9: 487.232 ±(99.9%) 152.388 ns/op
# Warmup Iteration  10: 400.873 ±(99.9%) 111.545 ns/op
Iteration   7: 357.681 ±(99.9%) 76.110 ns/op
Iteration   8: 355.173 ±(99.9%) 66.902 ns/op
Iteration   9: 365.398 ±(99.9%) 81.284 ns/op
Iteration  10: cRSS-pRSS:[2140, 2140]
;used-memory:[740]
346.474 ±(99.9%) 63.389 ns/op

# Run progress: 66.67% complete, ETA 00:00:24
# Fork: 3 of 3
[0.002s][info][gc] Using G1
# Warmup Iteration   1: [2.851s][info][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 2289M->1342M(24576M) 36.284ms
404.568 ±(99.9%) 42.230 ns/op
# Warmup Iteration   2: 1946.714 ±(99.9%) 357.739 ns/op
# Warmup Iteration   3: 350.423 ±(99.9%) 69.230 ns/op
# Warmup Iteration   4: 367.015 ±(99.9%) 99.264 ns/op
# Warmup Iteration   5: 372.401 ±(99.9%) 74.575 ns/op
# Warmup Iteration   6: 357.851 ±(99.9%) 66.938 ns/op
# Warmup Iteration   7: 337.060 ±(99.9%) 54.802 ns/op
# Warmup Iteration   8: 345.935 ±(99.9%) 63.364 ns/op
# Warmup Iteration   9: 345.118 ±(99.9%) 63.294 ns/op
# Warmup Iteration  10: 329.248 ±(99.9%) 44.788 ns/op
Iteration   1: 348.741 ±(99.9%) 70.473 ns/op
Iteration   2: 349.110 ±(99.9%) 71.827 ns/op
Iteration   3: 337.836 ±(99.9%) 52.797 ns/op
Iteration   4: 341.161 ±(99.9%) 53.257 ns/op
Iteration   5: 361.889 ±(99.9%) 82.583 ns/op
Iteration   6: 356.544 ±(99.9%) 68.250 ns/op
Iteration   7: 354.524 ±(99.9%) 70.039 ns/op
Iteration   8: 384.231 ±(99.9%) 114.055 ns/op
Iteration   9: 359.089 ±(99.9%) 80.633 ns/op
Iteration  10: cRSS-pRSS:[2129, 2131]
;used-memory:[716]
384.142 ±(99.9%) 101.316 ns/op


Result "io.github.neoionet.netty.microbenchmark.ByteBufAllocatorAllocPatternBenchmark.heapAllocation":
  387.355 ±(99.9%) 37.205 ns/op [Average]
  (min, avg, max) = (323.233, 387.355, 558.678), stdev = 55.687
  CI (99.9%): [350.150, 424.560] (assumes normal distribution)


# Run complete. Total time: 00:01:12

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                             (MAX_LIVE_BUFFERS)  (allocatorType)  (enableReadWrite)  (sizePattern)  Mode  Cnt    Score    Error  Units
ByteBufAllocatorAllocPatternBenchmark.heapAllocation                4096         ADAPTIVE               true     E_COMMERCE  avgt   30  387.355 ± 37.205  ns/op

Benchmark result is saved to cycle/harness-t32-4096-ADAPTIVE.json
